Datum;Zeit;Temperatur;Einheit;Sollwert;Einheit;P-Ausgabe;Einheit
13.12.2021;14:11:01,161544;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,162411;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,163341;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,164271;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,165201;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,166132;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,167062;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,167992;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,168923;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,169853;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,170783;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,171713;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,172644;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,173573;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,174504;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,175434;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,176365;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,177364;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,178363;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,179363;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,180362;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,181361;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,182361;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,183360;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,184359;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,185358;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,186358;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,187356;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,188356;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,189356;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,190354;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,191354;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,192353;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,193352;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,194233;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,195114;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,195995;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,196875;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,197755;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,198636;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,199517;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,200398;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,201278;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,202159;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,203039;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,203921;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,204801;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,205681;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,206562;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,207443;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,208324;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,209199;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,210074;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,210949;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,211825;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,212700;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,213575;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:01,214450;549,9;°C;-----;°C;0,0;%
