Datum;Zeit;Temperatur;Einheit;Sollwert;Einheit;P-Ausgabe;Einheit
13.12.2021;14:11:13,828614;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,829480;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,830346;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,831211;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,832076;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,832943;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,833808;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,834673;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,835540;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,836405;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,837270;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,838137;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,839002;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,840002;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,841003;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,842003;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,843003;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,844004;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,845004;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,846005;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,847005;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,848006;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,849006;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,850007;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,851007;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,852008;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,853008;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,854008;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,855009;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,856009;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,856944;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,857879;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,858814;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,859749;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,860684;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,861619;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,862554;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,863489;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,864424;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,865359;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,866294;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,867229;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,868164;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,869099;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,870034;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,870969;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,871851;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,872733;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,873613;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,874495;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,875377;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,876258;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,877139;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,878021;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,878902;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,879783;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,880665;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,881546;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,882428;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,883310;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,884190;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,885072;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,885954;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,886827;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,887701;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,888574;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,889447;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,890321;549,9;°C;-----;°C;0,0;%
13.12.2021;14:11:13,891193;549,9;°C;-----;°C;0,0;%
